;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Total;35609848;37829759;38690387;37433253;37522659;35053486;34722934;33485303;33208863;39003424;47782095;54388772;65419071;74725302;92527260;93539263;91476796;94100999;90393632;79189512;74145520;71046411
Biomassa;8465715;8375121;7864503;8350720;8073427;8115974;7755277;7868377;8301795;7235920;7687308;7997465;7695961;6926811;7834292;7732330;7937191;8619377;8651846;9113662;9297332;9305461
Minerals metàl·lics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minerals no metàl·lics;27139278;29428844;30790229;28995067;29328887;26803159;26742491;25315515;24542993;31557975;39906785;46168772;57487175;67540002;84350156;85384714;83142253;84973323;81191691;69494882;64198528;61176210
Combustibles fòssils;4855;25795;35655;87466;120344;134353;225166;301412;364075;209529;188002;222535;235935;258489;342812;422220;397352;508299;550094;580968;649660;564740
ED per habitant;4,59;4,89;5,04;4,94;4,99;4,69;4,67;4,51;4,45;5,20;6,36;7,27;8,79;10,16;12,81;13,23;13,22;13,90;13,64;12,22;11,72;11,43
ED per hectàrea;11,09;11,78;12,05;11,66;11,69;10,92;10,81;10,43;10,34;12,15;14,88;16,94;20,37;23,27;28,82;29,13;28,49;29,31;28,15;24,66;23,09;22,13
ED/PIB a preus corrents (kg/€);0,16;0,18;0,16;0,16;0,16;0,16;0,16;0,16;0,16;0,19;0,23;0,26;0,31;0,34;0,42;0,43;0,44;0,47;0,47;0,43;0,41;0,41

